Data;PPI;Produto;Unidade de Medida
01/01/2020;1,9595;Gasolina;R$/litro
01/01/2020;1,9262;Gasolina;R$/litro
01/01/2020;1,9198;Gasolina;R$/litro
01/01/2020;1,8878;Gasolina;R$/litro
01/01/2020;1,7951;Gasolina;R$/litro
01/01/2020;2,4272;Diesel;R$/litro
01/01/2020;2,4247;Diesel;R$/litro
01/01/2020;2,3787;Diesel;R$/litro
01/01/2020;2,3254;Diesel;R$/litro
01/01/2020;2,1935;Diesel;R$/litro
01/01/2020;25,675;GLP;R$/13kg
01/01/2020;24,882;GLP;R$/13kg
01/01/2020;25,896;GLP;R$/13kg
01/01/2020;25,064;GLP;R$/13kg
01/01/2020;23,4;GLP;R$/13kg
01/02/2020;1,7539;Gasolina;R$/litro
01/02/2020;1,8396;Gasolina;R$/litro
01/02/2020;1,9538;Gasolina;R$/litro
01/02/2020;1,8488;Gasolina;R$/litro
01/02/2020;2,044;Diesel;R$/litro
01/02/2020;2,08;Diesel;R$/litro
01/02/2020;2,1526;Diesel;R$/litro
01/02/2020;2,0683;Diesel;R$/litro
01/02/2020;21,58;GLP;R$/13kg
01/02/2020;20,982;GLP;R$/13kg
01/02/2020;22,49;GLP;R$/13kg
01/02/2020;22,074;GLP;R$/13kg
01/03/2020;1,7594;Gasolina;R$/litro
01/03/2020;1,3508;Gasolina;R$/litro
01/03/2020;0,8738;Gasolina;R$/litro
01/03/2020;0,7392;Gasolina;R$/litro
01/03/2020;2,0937;Diesel;R$/litro
01/03/2020;1,8505;Diesel;R$/litro
01/03/2020;1,6756;Diesel;R$/litro
01/03/2020;1,631;Diesel;R$/litro
01/03/2020;21,606;GLP;R$/13kg
01/03/2020;19,136;GLP;R$/13kg
01/03/2020;17,212;GLP;R$/13kg
01/03/2020;14,56;GLP;R$/13kg
01/04/2020;0,802;Gasolina;R$/litro
01/04/2020;0,8861;Gasolina;R$/litro
01/04/2020;0,9328;Gasolina;R$/litro
01/04/2020;0,9517;Gasolina;R$/litro
01/04/2020;1,1075;Gasolina;R$/litro
01/04/2020;1,5992;Diesel;R$/litro
01/04/2020;1,5674;Diesel;R$/litro
01/04/2020;1,5112;Diesel;R$/litro
01/04/2020;1,5359;Diesel;R$/litro
01/04/2020;1,4419;Diesel;R$/litro
01/04/2020;15,158;GLP;R$/13kg
01/04/2020;17,03;GLP;R$/13kg
01/04/2020;19,448;GLP;R$/13kg
01/04/2020;21,346;GLP;R$/13kg
01/04/2020;20,228;GLP;R$/13kg
01/05/2020;1,4805;Gasolina;R$/litro
01/05/2020;1,5606;Gasolina;R$/litro
01/05/2020;1,6651;Gasolina;R$/litro
01/05/2020;1,5847;Gasolina;R$/litro
01/05/2020;1,6187;Diesel;R$/litro
01/05/2020;1,6582;Diesel;R$/litro
01/05/2020;1,7685;Diesel;R$/litro
01/05/2020;1,7122;Diesel;R$/litro
01/05/2020;20,306;GLP;R$/13kg
01/05/2020;21,84;GLP;R$/13kg
01/05/2020;22,62;GLP;R$/13kg
01/05/2020;21,229;GLP;R$/13kg
01/06/2020;1,6285;Gasolina;R$/litro
01/06/2020;1,685;Gasolina;R$/litro
01/06/2020;1,7888;Gasolina;R$/litro
01/06/2020;1,8728;Gasolina;R$/litro
01/06/2020;1,8372;Gasolina;R$/litro
01/06/2020;1,7074;Diesel;R$/litro
01/06/2020;1,7579;Diesel;R$/litro
01/06/2020;1,8911;Diesel;R$/litro
01/06/2020;1,9532;Diesel;R$/litro
01/06/2020;1,9731;Diesel;R$/litro
01/06/2020;21,788;GLP;R$/13kg
01/06/2020;21,19;GLP;R$/13kg
01/06/2020;21,918;GLP;R$/13kg
01/06/2020;22,022;GLP;R$/13kg
01/06/2020;22,165;GLP;R$/13kg
01/07/2020;1,9269;Gasolina;R$/litro
01/07/2020;1,9383;Gasolina;R$/litro
01/07/2020;1,8892;Gasolina;R$/litro
01/07/2020;1,8496;Gasolina;R$/litro
01/07/2020;2,0472;Diesel;R$/litro
01/07/2020;2,0984;Diesel;R$/litro
01/07/2020;2,0959;Diesel;R$/litro
01/07/2020;2,0438;Diesel;R$/litro
01/07/2020;22,282;GLP;R$/13kg
01/07/2020;22,594;GLP;R$/13kg
01/07/2020;23,088;GLP;R$/13kg
01/07/2020;23,452;GLP;R$/13kg
01/08/2020;1,8427;Gasolina;R$/litro
01/08/2020;1,948;Gasolina;R$/litro
01/08/2020;2,0658;Gasolina;R$/litro
01/08/2020;2,1308;Gasolina;R$/litro
01/08/2020;2,0839;Diesel;R$/litro
01/08/2020;2,1442;Diesel;R$/litro
01/08/2020;2,1995;Diesel;R$/litro
01/08/2020;2,1764;Diesel;R$/litro
01/08/2020;25,116;GLP;R$/13kg
01/08/2020;25,298;GLP;R$/13kg
01/08/2020;25,844;GLP;R$/13kg
01/08/2020;26,052;GLP;R$/13kg
01/09/2020;1,9982;Gasolina;R$/litro
01/09/2020;1,8389;Gasolina;R$/litro
01/09/2020;1,8465;Gasolina;R$/litro
01/09/2020;1,965;Gasolina;R$/litro
01/09/2020;1,9899;Gasolina;R$/litro
01/09/2020;2,0144;Diesel;R$/litro
01/09/2020;1,8414;Diesel;R$/litro
01/09/2020;1,8098;Diesel;R$/litro
01/09/2020;1,8952;Diesel;R$/litro
01/09/2020;1,9788;Diesel;R$/litro
01/09/2020;25,35;GLP;R$/13kg
01/09/2020;23,855;GLP;R$/13kg
01/09/2020;25,532;GLP;R$/13kg
01/09/2020;26,702;GLP;R$/13kg
01/09/2020;27,118;GLP;R$/13kg
01/10/2020;1,9997;Gasolina;R$/litro
01/10/2020;1,9626;Gasolina;R$/litro
01/10/2020;1,9029;Gasolina;R$/litro
01/10/2020;1,8251;Gasolina;R$/litro
01/10/2020;1,9946;Diesel;R$/litro
01/10/2020;2,0103;Diesel;R$/litro
01/10/2020;1,9656;Diesel;R$/litro
01/10/2020;1,9541;Diesel;R$/litro
01/10/2020;27,43;GLP;R$/13kg
01/10/2020;29,354;GLP;R$/13kg
01/10/2020;30,134;GLP;R$/13kg
01/10/2020;30,628;GLP;R$/13kg
01/11/2020;1,8327;Gasolina;R$/litro
01/11/2020;1,8785;Gasolina;R$/litro
01/11/2020;1,8323;Gasolina;R$/litro
01/11/2020;1,9043;Gasolina;R$/litro
01/11/2020;1,944;Diesel;R$/litro
01/11/2020;1,9921;Diesel;R$/litro
01/11/2020;2,001;Diesel;R$/litro
01/11/2020;2,1259;Diesel;R$/litro
01/11/2020;31,382;GLP;R$/13kg
01/11/2020;31,33;GLP;R$/13kg
01/11/2020;30,29;GLP;R$/13kg
01/11/2020;31,291;GLP;R$/13kg
01/12/2020;1,9022;Gasolina;R$/litro
01/12/2020;1,9001;Gasolina;R$/litro
01/12/2020;2,0175;Gasolina;R$/litro
01/12/2020;2,1023;Gasolina;R$/litro
01/12/2020;2,1472;Gasolina;R$/litro
01/12/2020;2,1092;Diesel;R$/litro
01/12/2020;2,0966;Diesel;R$/litro
01/12/2020;2,1863;Diesel;R$/litro
01/12/2020;2,2729;Diesel;R$/litro
